,elements,charge_states,probabilities
0,Co,"[-3, -1, 1, 2, 3, 4, 5]","[0.069, 0.271, 0.245, 0.207, 0.101, 0.078, 0.029]"
1,Ag,"[-2, -1, 1, 2, 3]","[0.135, 0.126, 0.552, 0.122, 0.065]"
2,O,"[-2, -1, 1, 2]","[0.799, 0.197, 0.003, 0.001]"
3,V,"[-3, -1, 1, 2, 3, 4, 5]","[0.01, 0.034, 0.139, 0.216, 0.178, 0.106, 0.317]"
4,Pd,"[1, 2, 3, 4]","[0.315, 0.494, 0.03, 0.161]"
5,Cr,"[-1, 1, 2, 3, 4, 5, 6]","[0.024, 0.114, 0.193, 0.337, 0.127, 0.06, 0.145]"
6,W,"[-4, -2, 1, 2, 3, 4, 5, 6]","[0.011, 0.011, 0.065, 0.129, 0.194, 0.183, 0.086, 0.323]"
7,Fe,"[-4, -2, -1, 1, 2, 3, 4, 5, 6, 7]","[0.02, 0.016, 0.17, 0.259, 0.118, 0.334, 0.059, 0.01, 0.01, 0.003]"
8,Ni,"[-2, -1, 1, 2, 3, 4]","[0.201, 0.309, 0.228, 0.16, 0.05, 0.053]"
9,Zn,"[-2, 1, 2]","[0.21, 0.08, 0.71]"
10,Y,"[1, 2, 3]","[0.182, 0.314, 0.504]"
11,Mn,"[-3, -2, -1, 1, 2, 3, 4, 5, 6, 7]","[0.009, 0.005, 0.051, 0.171, 0.403, 0.153, 0.139, 0.037, 0.019, 0.014]"
12,Cu,"[-2, 1, 2, 3, 4]","[0.351, 0.414, 0.172, 0.038, 0.025]"
13,Nb,"[-3, -1, 1, 2, 3, 4, 5]","[0.004, 0.008, 0.157, 0.089, 0.195, 0.161, 0.386]"
14,Ti,"[-2, -1, 1, 2, 3, 4]","[0.004, 0.008, 0.198, 0.176, 0.26, 0.355]"
15,Zr,"[-2, 1, 2, 3, 4]","[0.029, 0.265, 0.22, 0.163, 0.322]"
16,Mo,"[-4, -2, -1, 1, 2, 3, 4, 5, 6]","[0.037, 0.023, 0.051, 0.286, 0.097, 0.138, 0.046, 0.051, 0.272]"
17,Sc,"[1, 2, 3]","[0.244, 0.388, 0.369]"
18,Si,"[-4, -3, -2, -1, 1, 2, 3, 4]","[0.03, 0.09, 0.016, 0.143, 0.114, 0.126, 0.092, 0.389]"
19,K,[1],[1.0]
20,Ga,"[-5, -4, -3, -2, -1, 1, 2, 3]","[0.1, 0.022, 0.092, 0.038, 0.199, 0.102, 0.1, 0.348]"
21,Tb,"[1, 2, 3, 4]","[0.255, 0.149, 0.404, 0.191]"
22,Na,"[-1, 1]","[0.007, 0.993]"
23,Ce,"[2, 3, 4]","[0.236, 0.542, 0.222]"
24,Rh,"[-3, -1, 1, 2, 3, 4, 5]","[0.5, 0.37, 0.02, 0.004, 0.061, 0.02, 0.024]"
25,P,"[-3, -2, -1, 1, 2, 3, 4, 5]","[0.164, 0.155, 0.092, 0.065, 0.051, 0.087, 0.027, 0.358]"
26,Cl,"[-1, 1, 2, 3, 4, 5, 6, 7]","[0.95, 0.025, 0.001, 0.011, 0.001, 0.002, 0.002, 0.007]"
27,F,[-1],[1.0]
28,Sb,"[-3, -2, -1, 1, 2, 3, 4, 5]","[0.206, 0.122, 0.105, 0.055, 0.009, 0.317, 0.015, 0.172]"
29,B,"[-5, -1, 1, 2, 3]","[0.131, 0.173, 0.047, 0.1, 0.55]"
30,Er,"[2, 3]","[0.402, 0.598]"
31,Ge,"[-4, -3, -2, -1, 1, 2, 3, 4]","[0.072, 0.155, 0.049, 0.176, 0.095, 0.12, 0.056, 0.278]"
32,Sr,"[1, 2, 3]","[0.092, 0.786, 0.122]"
33,Li,[1],[1.0]
34,Ba,"[1, 2]","[0.167, 0.833]"
35,Pr,"[1, 2, 3, 4, 5]","[0.196, 0.165, 0.354, 0.139, 0.146]"
36,Dy,"[2, 3, 4]","[0.287, 0.545, 0.169]"
37,Al,"[-2, -1, 1, 2, 3]","[0.09, 0.171, 0.097, 0.109, 0.533]"
38,Au,"[-3, -2, -1, 1, 2, 3, 5]","[0.256, 0.142, 0.236, 0.098, 0.057, 0.171, 0.041]"
39,In,"[-5, -2, -1, 1, 2, 3]","[0.11, 0.13, 0.177, 0.147, 0.067, 0.368]"
40,Sm,"[1, 2, 3]","[0.169, 0.424, 0.407]"
41,La,"[1, 2, 3]","[0.16, 0.362, 0.477]"
42,Gd,"[1, 2, 3]","[0.132, 0.314, 0.553]"
43,Ca,"[1, 2]","[0.151, 0.849]"
44,Rb,[1],[1.0]
45,Nd,"[2, 3, 4]","[0.238, 0.617, 0.145]"
46,Sn,"[-4, -3, -2, -1, 1, 2, 3, 4]","[0.028, 0.144, 0.052, 0.187, 0.061, 0.174, 0.052, 0.303]"
47,U,"[-1, 1, 2, 3, 4, 5, 6]","[0.039, 0.078, 0.045, 0.123, 0.312, 0.143, 0.26]"
48,Tm,"[2, 3]","[0.463, 0.537]"
49,Cs,"[-1, 1]","[0.001, 0.999]"
50,S,"[-2, -1, 1, 2, 3, 4, 5, 6]","[0.671, 0.159, 0.01, 0.012, 0.041, 0.023, 0.004, 0.08]"
51,C,"[-4, -3, -2, -1, 1, 2, 3, 4]","[0.212, 0.073, 0.083, 0.166, 0.111, 0.071, 0.053, 0.232]"
52,I,"[-1, 1, 2, 3, 4, 5, 6, 7]","[0.906, 0.03, 0.005, 0.01, 0.005, 0.02, 0.007, 0.017]"
53,Ir,"[-3, -1, 1, 2, 3, 4, 5, 6, 8]","[0.521, 0.326, 0.009, 0.009, 0.042, 0.06, 0.014, 0.005, 0.014]"
54,Pb,"[-4, -2, -1, 1, 2, 3, 4]","[0.066, 0.025, 0.223, 0.071, 0.452, 0.046, 0.117]"
55,Yb,"[2, 3]","[0.6, 0.4]"
56,Ho,"[2, 3]","[0.422, 0.578]"
57,Lu,"[2, 3]","[0.435, 0.565]"
58,Pt,"[-3, -2, -1, 1, 2, 3, 4, 5, 6]","[0.234, 0.171, 0.312, 0.045, 0.093, 0.015, 0.108, 0.007, 0.015]"
59,Se,"[-2, -1, 1, 2, 3, 4, 5, 6]","[0.684, 0.213, 0.023, 0.002, 0.017, 0.032, 0.004, 0.025]"
60,Hg,"[-2, 1, 2]","[0.235, 0.075, 0.69]"
61,Te,"[-2, -1, 1, 2, 3, 4, 5, 6]","[0.46, 0.219, 0.069, 0.028, 0.011, 0.158, 0.006, 0.05]"
62,Ta,"[1, 2, 3, 4, 5]","[0.202, 0.098, 0.178, 0.098, 0.423]"
63,Ru,"[-4, -2, 1, 2, 3, 4, 5, 6, 8]","[0.328, 0.298, 0.076, 0.061, 0.061, 0.076, 0.069, 0.015, 0.015]"
64,Br,"[-1, 1, 3, 4, 5, 7]","[0.881, 0.044, 0.026, 0.006, 0.035, 0.007]"
65,Bi,"[-3, -2, -1, 1, 2, 3, 5]","[0.113, 0.08, 0.094, 0.127, 0.005, 0.526, 0.056]"
66,Eu,"[2, 3]","[0.703, 0.297]"
67,H,"[-1, 1]","[0.418, 0.582]"
68,N,"[-3, -2, -1, 1, 2, 3, 4, 5]","[0.421, 0.181, 0.166, 0.106, 0.017, 0.032, 0.017, 0.061]"
69,Mg,"[1, 2]","[0.192, 0.808]"
70,Tl,"[-5, -2, -1, 1, 2, 3]","[0.06, 0.078, 0.166, 0.378, 0.115, 0.203]"
71,Hf,"[1, 2, 3, 4]","[0.28, 0.184, 0.2, 0.336]"
72,Cd,"[-2, 1, 2]","[0.132, 0.053, 0.815]"
73,Re,"[-3, -1, 1, 2, 3, 4, 5, 6, 7]","[0.098, 0.165, 0.068, 0.09, 0.128, 0.143, 0.098, 0.038, 0.173]"
74,As,"[-3, -2, -1, 1, 2, 3, 4, 5]","[0.362, 0.16, 0.075, 0.055, 0.026, 0.137, 0.003, 0.182]"
75,Th,"[1, 2, 3, 4]","[0.163, 0.185, 0.141, 0.511]"
76,Os,"[-4, -2, -1, 1, 2, 3, 4, 5, 6, 7]","[0.333, 0.107, 0.226, 0.012, 0.024, 0.036, 0.143, 0.06, 0.024, 0.036]"
77,Be,"[1, 2]","[0.089, 0.911]"
78,Xe,"[2, 4, 6]","[0.391, 0.043, 0.565]"
